image	caption
1015584366_dfcec3c85a.jpg	a dog jumps over a hurdle .
101654506_8eb26cfb60.jpg	a man in a red shirt is performing a trick on a skateboard .
1016887272_03199f49c4.jpg	a man in a red shirt is standing in front of a mountain .
1020651753_06077ec457.jpg	a dog jumps over a red and white pole .
1022454428_b6b660a67b.jpg	a black and white dog is jumping up to catch a frisbee .
102455176_5f8ead62d5.jpg	a young boy in a blue shirt is running on a beach .
1028205764_7e8df9a2ea.jpg	a man is kayaking in the water .
103195344_5d2dc613a3.jpg	a man is jumping on a trampoline in front of a building .
1032460886_4a598ed535.jpg	a group of people are sitting on a bench in a park .
1042020065_fb3d3ba5ba.jpg	a man is jumping into a pool with a paddle .
1055753357_4fa3d8d693.jpg	a man in a white shirt and a woman in a red dress are dancing .
1057089366_ca83da0877.jpg	a man in a white shirt and jeans is sitting on a bench reading a book .
1067180831_a59dc64344.jpg	a man is performing a trick on a skateboard in the air .
1075716537_62105738b4.jpg	a man in a red shirt and helmet riding a bike .
1077546505_a4f6c4daa9.jpg	a black dog is jumping over a white fence .
1077931201_1e0bb83105.jpg	a man is jumping into a swimming pool .
10815824_2997e03d76.jpg	a group of people are standing in front of a large crowd .
1082252566_8c79beef93.jpg	a dog is jumping over a hurdle .
1084040636_97d9633581.jpg	a white dog is running on the beach .
109260216_85b0be5378.jpg	a man in a red shirt is standing in front of a mountain .
109260218_fca831f933.jpg	a man in a white shirt and a woman in a red dress are dancing .
1094462889_f9966dafa6.jpg	a little girl in a pink shirt is running through a field of flowers .
1095580424_76f0aa8a3e.jpg	a man is jumping over a flaming obstacle .
1096097967_ac305887b4.jpg	a man is jumping over a horizontal pole .
109738763_90541ef30d.jpg	a man in a yellow shirt is sitting on a bench .
1104133405_c04a00707f.jpg	a man is riding a horse down a dirt path .
1105959054_9c3a738096.jpg	a man is jumping on a trampoline .
1119463452_69d4eecd08.jpg	a man is standing on a beach with a bucket of water .
1131804997_177c3c0640.jpg	a man in a white shirt and jeans is sitting on a bench reading a book .
1143373711_2e90b7b799.jpg	a man is jumping into a pool with a skateboard .
114949897_490ca7eaec.jpg	a man in a white shirt is sitting on a bench with his eyes closed .
